$(StartTypes)
# Number of particle types
1
sphere        /Users/galdo/Downloads/ddscat/ELLIPSOID
$(EndTypes)
$(StartParticles)
# Number of particles
10
# Type  wavelength [nm]  eff. radius [um]  (a1_x a1_y a1_z)  (a2_x a2_y a2_z)  (x y z)[um]
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  100  100  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  200  100  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  300  100  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  100  200  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  200  200  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  300  200  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  100  300  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  200  300  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  300  300  100
sphere  532.0  0.39789  0.0  1.0  0.0  0.0  0.0  1.0  150  150  200
$(EndParticles)
